ID_GROUP;GROUP_NAME;CREATION_DATE;CREATED_BY;MODIFICATION_DATE;MODIFIED_BY
1;-;;;;
2;Microcredit Foundation EKI;;;;
3;ProCredit;;;;
4;Access Holding;;;;
5;ACBA Group;;;;
6;Advans;;;;
7;Mercy Corps;;;;
8;ASA International;;;;
9;Vision Fund;;;;
10;Finca;;;;
11;Compartamos;;;;
12;Grupo Terra;;;;
13;G&T Continental El Salvador;;;;
14;Grupo Promerica;;;;
15;Union Bank;;;;
16;Societe Generale;;;;
17;Bayport Financial services;;;;
18;FEPCMAC;;;;
19;BBVA Foundation;;;;
20;CHF Intl;;;;
21;LOLC Group;;;;
22;Enda Tiers Monde;;;;
23;Equitas Holding;;;;
24;NCH Capital;;;;
25;WWB;;;;
26;Grameen;;;;
27;GMG Holding S.A.;;;;
28;Finadev Holding;;;;
29;Banco de Credito;;;;
30;Aga Khan;;;;
31;CEE Microfinance Holding;;;;
32;Getin Holding;;;;
33;NOA Holding;;;;
34;ICMC;;;;
35;INVOINET Holding;;;;
36;Opportunity Intl;;;;
37;Phillip Capital;;;;
38;Letshego Holdings Limited;;;;
39;Microcred;;;;
40;ACDI/VOCA;;;;
41;Mikrofin MCC;;;;
42;Oxus;;;;
43;Fundacion Microfinanzas BBVA;;;;
44;Musoni DTM;;;;
45;Baobab;;;;
46;TBC Bank;;;;
47;ProMujer;;;;
48;People's Bank;;;;
49;Equity Group;;;;
50;Sathapana;;;;
51;Te Creemos Holding;;;;
52;Tunisie Leasing Group;;;;
53;Vitas Group;;;;
54;Arrend;;;;
55;Cofina;;;;
56;Select Africa Group Limited;;;;
57;EFC;;;;
58;PlatCorp Holdings Limited;;;;
59;Actera Partners;;;;
60;Grassland Finance;;;;
61;Mikro Kapital Group;;;;
62;MNC group;;;;
63;Tenger Financial Group;;;;
64;Agora Microfinance;;;;
65;Arrend Group;;;;
66;Coris Group;;;;
67;PFC;;;;
68;Inversiones Atlantida;;;;
69;Group Progreso Capital Holding;;;;
70;Lanka Bangla;;;;
71;Arohan;;;;
72;Ecobank Transnational Incorporated;;;;
73;Muthoot Papachan Group;;;;
74;Orabank S.A.;;;;
75;Chase Group;;;;
76;BancABC;;;;
77;Funding Societies Asia Group (FSAG);;;;
78;Grupo Assa;;;;
79;FICOHSA Financial Corporation;;;;
80;CreditAccess Asia;;;;
81;AccessHolding;;;;
82;Group Progreso Capital Holding Ltda;;;;
83;Select;;;;
84;Panacredit;;;;
85;Factoring Total S.A;;;;
86;Groupe Cofina;;;;
