empty;ID_INNPACT;IM;POOL;NOVAL;STATUS;MFI_NAME_ACTUAL;GROUP_NAME;ID_MFI;ORIGINAL_NOMINAL_AMOUNT_USD;APPROVED_NOMINAL_AMOUNT_USD;RATIFIED_NOMINAL_AMOUNT_USD;NOMINAL_AMOUNT_USD;ORIGINAL_NOMINAL_LOCAL_CCY;APPROVED_NOMINAL_LOCAL_CCY;RATIFIED_NOMINAL_LOCAL_CCY;NOMINAL_LOCAL_CCY;LOCAL_CCY;ORIGINAL_TENOR;APPROVED_TENOR;RATIFIED_TENOR;TENOR;PROPOSED_SPREAD;PROPOSED_UPFRONT;PROPOSED_FIXED_RATE;RATIFIED_SPREAD;RATIFIED_UPFRONT;RATIFIED_FIXED_RATE;APPROVED_SPREAD;APPROVED_UPFRONT;APPROVED_FIXED_RATE;EXECUTED_SPREAD;EXECUTED_UPFRONT;EXECUTED_FIXED_RATE;BOND;ASSIGNMENT_DATE;DEADLINE_ASSIGNMENT_DATE;RATIFICATION_DATE;DEADLINE_RATIFICATION_DATE;APPROVAL_DATE;DEADLINE_APPROVAL_DATE;DISBURSEMENT_DATE;EXPECTED_DISBURSEMENT_DATE;MATURITY_DATE;REPAYMENT_TYPE;INTEREST_RATE_TYPE;INTEREST_FRENQUENCY;REFERENCE_RATE;PROBABILITIES;TYPE_OF_LOAN;TRANCHE;Parent Loan Noval;NOMINAL_ACP;TYPE_HEDGE_STUCTURE;SPECIFIC_APPROVAL_CONDITION;FX_RATE_AT_DISBURSEMENT;TOTAL_SYNDICATION_AMOUNT;IS_IT_A_BANK;ARCHIVES_STATUS;CRITICAL_CASES;CREATION_DATE;CREATED_BY;MODIFICATION_DATE;MODIFIED_BY;InstitutionType;OtherInstitutionType;Restructured;Provisioned;Watch listed;;;;;;;;;;;;;;;;;;;;
;42443;BO;Global;117320;Matured;AB MF Bank Nigeria;Access Holding;4748;2000000.0000000000000;2000000.0000000000000;2000000.0000000000000;2000000.0000000000000;397800018.0000000000000;397800018.0000000000000;397800018.0000000000000;397800018.0000000000000;NGN;48;48;48;48;4.30;1.00;0.00;4.50;1.00;0.00;4.50;1.00;0.00;4.50;1.00;0.00;Direct;11-02-15;12-05-15;27-12-14;27-03-15;25-02-15;26-05-15;17-04-15;17-04-15;17-04-19;BULLET;Floating;0;;50.00;Add.Exp.;;;;Cross CCY Swap;"Subject to IC confirmation if spread is acceptable
Amount potentially incorrect -- Nominal";198.90000900000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;14-05-19;nawel.octave;Bank;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42446;BO;Global;15;Matured;AB MF Bank Nigeria;Access Holding;4748;2000000.0000000000000;2000000.0000000000000;2000000.0000000000000;2000000.0000000000000;325500098.0000000000000;325500098.0000000000000;325500098.0000000000000;325500098.0000000000000;NGN;29;29;29;29;4.25;0.00;0.00;4.25;0.00;0.00;4.25;4.40;0.00;4.40;0.00;0.00;Direct;08-12-11;07-03-12;20-11-11;20-02-12;19-01-12;18-04-12;18-06-12;18-06-12;18-06-14;BULLET;Floating;0;;50.00;New;;;;Cross CCY Swap;;162.75004900000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;13-06-19;nawel.octave;Bank;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42452;IN;Global;21;Matured;ACBA Credit Agricole Bank CJSC;-;4752;15000000.0000000000000;15000000.0000000000000;15000000.0000000000000;15000000.0000000000000;15000000.0000000000000;15000000.0000000000000;15000000.0000000000000;15000000.0000000000000;USD;36;36;36;36;4.50;1.00;0.00;4.50;1.00;0.00;4.50;1.00;0.00;4.50;1.00;0.00;Direct;05-07-13;03-10-13;25-05-13;25-08-13;24-07-13;22-10-13;13-11-13;13-11-13;13-11-16;BULLET;Floating;0;;75.00;New;;;;NO HEDGE - USD Libor;Portolio pledge <  8% and maturity of 3 years;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;Bank;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42453;IN;Global;20;Matured;ACBA Credit Agricole Bank CJSC;-;4752;15000000.0000000000000;15000000.0000000000000;15000000.0000000000000;15000000.0000000000000;15000000.0000000000000;15000000.0000000000000;15000000.0000000000000;15000000.0000000000000;USD;36;36;36;36;4.50;0.00;0.00;4.50;0.00;0.00;4.50;0.00;0.00;4.50;0.00;0.00;Direct;15-02-10;16-05-10;02-07-09;02-10-09;31-08-09;29-11-09;09-10-09;09-10-09;31-10-12;BULLET;Floating;0;;75.00;New;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;Bank;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42456;BO;Global;135700;Matured;Acceso Crediticio;-;4754;3500000.0000000000000;3500000.0000000000000;3500000.0000000000000;3500000.0000000000000;11376841.0000000000000;11376841.0000000000000;11376841.0000000000000;11376841.0000000000000;PEN;36;36;36;36;4.00;1.00;10.50;4.25;1.00;10.50;4.25;1.00;10.50;4.52;1.00;10.50;Direct;09-08-16;07-11-16;27-11-16;27-02-17;26-01-17;26-04-17;22-03-17;22-03-17;23-03-20;BULLET;Fixed;0;;50.00;New;;;;Fixed hedged to LIBOR;increase spread to 425;3.25052600000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;11-05-20;nawel.octave;MFI;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42460;BO;Global;135691;Matured;Acceso Crediticio;-;4754;3500000.0000000000000;3500000.0000000000000;3500000.0000000000000;3500000.0000000000000;11376841.0000000000000;11376841.0000000000000;11376841.0000000000000;11376841.0000000000000;PEN;36;36;36;36;4.00;1.00;10.50;4.25;1.00;10.50;4.25;1.00;10.50;4.46;1.00;10.50;Direct;09-08-16;07-11-16;27-11-16;27-02-17;26-01-17;26-04-17;03-03-17;03-03-17;03-03-20;BULLET;Fixed;0;;50.00;New;;;;Fixed hedged to LIBOR;increase spread to 425;3.25052600000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;12-03-20;nawel.octave;MFI;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42462;BO;Global;27;Matured;Access Bank Tanzania Ltd;Access Holding;4755;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;USD;24;24;24;24;4.90;0.00;0.00;5.38;0.00;0.00;4.90;0.00;0.00;5.38;0.00;0.00;Direct;17-08-13;15-11-13;25-08-13;25-11-13;24-10-13;22-01-14;15-11-13;15-11-13;17-11-14;BULLET;Floating;0;;75.00;Renewal/ Add.Exp.;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;Bank;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42463;BO;Global;25;Matured;Access Bank Tanzania Ltd;Access Holding;4755;1000000.0000000000000;1000000.0000000000000;1000000.0000000000000;1000000.0000000000000;2190000675.0000000000000;2190000675.0000000000000;2190000675.0000000000000;2190000675.0000000000000;TZS;36;36;36;36;4.50;0.00;0.00;4.50;0.00;0.00;4.50;4.52;0.00;4.52;0.00;0.00;Direct;15-09-11;14-12-11;17-09-11;17-12-11;16-11-11;14-02-12;25-05-12;25-05-12;27-05-14;BULLET;Floating;0;;50.00;New;;;;Cross CCY Swap;;2190.00067500000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;Bank;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42464;BO;Global;26;Matured;Access Bank Tanzania Ltd;Access Holding;4755;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;3285001012.5000000000000;3285001012.5000000000000;3285001012.5000000000000;3285001012.5000000000000;TZS;36;36;36;36;4.50;0.00;0.00;4.50;0.00;0.00;4.50;4.81;0.00;4.81;0.00;0.00;Direct;15-09-11;14-12-11;17-09-11;17-12-11;16-11-11;14-02-12;28-03-12;28-03-12;30-09-13;BULLET;Floating;0;;50.00;New;;;;Cross CCY Swap;;2190.00067500000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;;;Bank;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
;42465;BO;Global;28;Matured;Access Bank Tanzania Ltd;Access Holding;4755;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;1500000.0000000000000;USD;24;24;24;24;4.90;0.00;0.00;5.27;0.00;0.00;4.90;0.00;0.00;5.27;0.00;0.00;Direct;17-08-13;15-11-13;25-08-13;25-11-13;24-10-13;22-01-14;24-01-14;24-01-14;23-01-15;BULLET;Floating;0;;75.00;Add.Exp.;;;;NO HEDGE - USD Libor;;1.00000000000000000000000;;FALSE;FALSE;FALSE;08-10-18;guillaume.marois;26-06-19;guillaume.marois;Bank;;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;
