empty;NOVAL;AMOUNT VALUE LOCAL CCY;LOCAL CCY;REPAYMENT DATE;TYPE OF PAYMENT;MFI NAME;Original amount;Received amount;Payment Status;Provision date;Provision;XR;USD calcualted base in local CCY;Provision in %;Prov in USD;;;;;
;212927;8087500.000000000000;CNY;03-01-23;Principal;Huimin;8087500.000000000000;0.000000000000;Pending;;0.000000000000;6.453989000000;1253100.989171190000;0.000000000000000;0.000000000000;;;;;
;212927;24262500.000000000000;CNY;03-07-23;Principal;Huimin;24262500.000000000000;0.000000000000;Pending;;0.000000000000;6.453989000000;3759302.967513580000;0.000000000000000;0.000000000000;;;;;
;215028;54725000.000000000000;KES;17-08-23;Principal;ASA Kenya;54725000.000000000000;0.000000000000;Pending;;0.000000000000;110.500022000000;495248.770176715000;0.000000000000000;0.000000000000;;;;;
;215028;54725000.000000000000;KES;19-08-24;Principal;ASA Kenya;54725000.000000000000;0.000000000000;Pending;;0.000000000000;110.500022000000;495248.770176715000;0.000000000000000;0.000000000000;;;;;
;215429;395000000.000000000000;NGN;08-07-22;Principal;Advans Nigeria (formerly La Fayette);395000000.000000000000;0.000000000000;Pending;;0.000000000000;413.750032000000;954682.705619706000;0.000000000000000;0.000000000000;;;;;
;216092;200000000.000000000000;NGN;30-01-23;Principal;Addosser;200000000.000000000000;0.000000000000;Pending;;0.000000000000;413.750032000000;483383.648415041000;0.000000000000000;0.000000000000;;;;;
;216092;200000000.000000000000;NGN;30-07-23;Principal;Addosser;200000000.000000000000;0.000000000000;Pending;;0.000000000000;413.750032000000;483383.648415041000;0.000000000000000;0.000000000000;;;;;
;216097;1214299650.000000000000;MWK;27-07-24;Principal;Finca Malawi;1214299650.000000000000;0.000000000000;Pending;;0.000000000000;815.941024000000;1488219.876538530000;0.000000000000000;0.000000000000;;;;;
;215029;422654.260000000000;EUR;07-07-23;Principal;JSC Liberty Bank;422654.260000000000;0.000000000000;Pending;;0.000000000000;0.862849993529;489835.154627000000;0.000000000000000;0.000000000000;;;;;
;215029;422654.270000000000;EUR;08-01-24;Principal;JSC Liberty Bank;422654.270000000000;0.000000000000;Pending;;0.000000000000;0.862849993529;489835.166216500000;0.000000000000000;0.000000000000;;;;;
;215029;422654.270000000000;EUR;08-07-24;Principal;JSC Liberty Bank;422654.270000000000;0.000000000000;Pending;;0.000000000000;0.862849993529;489835.166216500000;0.000000000000000;0.000000000000;;;;;
;215029;422654.270000000000;EUR;07-01-25;Principal;JSC Liberty Bank;422654.270000000000;0.000000000000;Pending;;0.000000000000;0.862849993529;489835.166216500000;0.000000000000000;0.000000000000;;;;;
;215827;370000000.000000000000;INR;12-07-24;Principal;Annapurna Microfinance Private Limited;370000000.000000000000;0.000000000000;Pending;;0.000000000000;74.227490000000;4984676.162429850000;0.000000000000000;0.000000000000;;;;;
;215631;220000000.000000000000;INR;20-08-24;Principal;Light Microfinance Private Limited;220000000.000000000000;0.000000000000;Pending;;0.000000000000;74.227490000000;2963861.501985320000;0.000000000000000;0.000000000000;;;;;
;215555;1000000.000000000000;USD;24-07-23;Principal;Banco Improsa;1000000.000000000000;0.000000000000;Pending;;0.000000000000;1.000000000000;1000000.000000000000;0.000000000000000;0.000000000000;;;;;
;215555;1000000.000000000000;USD;22-01-24;Principal;Banco Improsa;1000000.000000000000;0.000000000000;Pending;;0.000000000000;1.000000000000;1000000.000000000000;0.000000000000000;0.000000000000;;;;;
;215555;2000000.000000000000;USD;22-07-24;Principal;Banco Improsa;2000000.000000000000;0.000000000000;Pending;;0.000000000000;1.000000000000;2000000.000000000000;0.000000000000000;0.000000000000;;;;;
;215030;3750000.000000000000;USD;30-01-24;Principal;Letshego Botswana;3750000.000000000000;0.000000000000;Pending;;0.000000000000;1.000000000000;3750000.000000000000;0.000000000000000;0.000000000000;;;;;
;215030;3750000.000000000000;USD;30-01-25;Principal;Letshego Botswana;3750000.000000000000;0.000000000000;Pending;;0.000000000000;1.000000000000;3750000.000000000000;0.000000000000000;0.000000000000;;;;;
;215633;333333.330000000000;USD;31-12-21;Principal;FATEN;333333.330000000000;0.000000000000;Pending;;0.000000000000;1.000000000000;333333.330000000000;0.000000000000000;0.000000000000;;;;;
;215633;333333.330000000000;USD;30-06-22;Principal;FATEN;333333.330000000000;0.000000000000;Pending;;0.000000000000;1.000000000000;333333.330000000000;0.000000000000000;0.000000000000;;;;;
;215633;333333.330000000000;USD;03-01-23;Principal;FATEN;333333.330000000000;0.000000000000;Pending;;0.000000000000;1.000000000000;333333.330000000000;0.000000000000000;0.000000000000;;;;;
;215633;333333.330000000000;USD;30-06-23;Principal;FATEN;333333.330000000000;0.000000000000;Pending;;0.000000000000;1.000000000000;333333.330000000000;0.000000000000000;0.000000000000;;;;;
