ID_INNPACT;ID_REPAYMENT;REPAYMENT_DATE;AMOUNT_VALUE_LOCAL_CCY;AMOUNT_VALUE_USD;LOCAL_CCY;CREATION_DATE;CREATED_BY;MODIFICATION_DATE;MODIFIED_BY
4183768;0;22-06-21 00:00;5.0e+06;5.0e+06;USD;;;;
4183871;0;14-06-21 00:00;0.00;1.0e+06;TJS;;;;
4183957;0;14-12-21 00:00;0.00;428757.0;TJS;;;;
4183954;0;27-08-21 00:00;0.00;200290.0;USD;;;;
4183948;0;30-07-21 00:00;1.0e+06;1.0e+06;USD;;;;
4183418;0;24-07-23 00:00;1.0e+06;1.0e+06;USD;;;;
USD;;;;;;;;;
4183418;0;22-01-24 00:00;1.0e+06;1.0e+06;USD;;;;
4183418;0;22-07-24 00:00;2.0e+06;2.0e+06;USD;;;;
42616;0;20-10-18 00:00;1.25e+06;1.25e+06;USD;;;;
42459;0;13-11-18 00:00;8,88E+12;2,98E+12;PEN;;;;
42584;0;20-12-18 00:00;2.5e+06;2.5e+06;USD;;;;
43538;0;24-12-18 00:00;1,18E+13;596816.2;MXN;;;;
43540;0;03-02-19 00:00;9,19E+12;465460.9;MXN;;;;
4178649;0;08-03-19 00:00;166667.0;166667.0;USD;;;;
42912;0;07-05-19 00:00;7,97E+09;410362.1;MXN;;;;
43538;1;24-06-19 00:00;1,14E+13;575331.4;MXN;;;;
42802;0;10-07-19 00:00;1,88E+09;1,88E+09;USD;;;;
43540;1;03-08-19 00:00;9,42E+12;477141.6;MXN;;;;
42567;0;20-08-19 00:00;1,23E+14;317241.4;KZT;;;;
42583;0;26-08-19 00:00;1,67E+10;1,67E+10;USD;;;;
43421;0;29-08-19 00:00;825000.0;825000.0;USD;;;;
42671;0;04-09-19 00:00;1,62E+12;300609.7;GHS;;;;
42849;0;17-09-19 00:00;3,25E+13;1,65E+12;MXN;;;;
43423;0;24-09-19 00:00;825000.0;825000.0;USD;;;;
42564;0;01-10-19 00:00;6.06e+07;156155.4;KZT;;;;
42616;1;20-10-19 00:00;1.25e+06;1.25e+06;USD;;;;
43450;0;30-10-19 00:00;2,48E+12;750000.0;THB;;;;
42912;1;05-11-19 00:00;7,97E+09;410362.1;MXN;;;;
4178649;1;10-11-19 00:00;166667.0;166667.0;USD;;;;
42459;1;13-11-19 00:00;8,66E+12;2,98E+12;PEN;;;;
43107;0;26-11-19 00:00;6,47E+12;246345.1;HNL;;;;
42584;1;20-12-19 00:00;2.5e+06;2.5e+06;USD;;;;
43686;0;20-12-19 00:00;666600.0;666600.0;USD;;;;
43694;0;21-12-19 00:00;2.4e+06;2.4e+06;USD;;;;
43730;0;21-12-19 00:00;1.25e+06;1.25e+06;USD;;;;
43538;2;23-12-19 00:00;1,12E+10;565233.9;MXN;;;;
42802;1;10-01-20 00:00;1,88E+09;1,88E+09;USD;;;;
43751;0;29-01-20 00:00;333332.7;333332.7;USD;;;;
43540;2;03-02-20 00:00;9,17E+12;485419.6;MXN;;;;
42671;1;04-03-20 00:00;1,75E+11;306971.9;GHS;;;;
43689;0;12-03-20 00:00;7,61E+12;719222.7;BWP;;;;
43852;0;13-03-20 00:00;4.75e+06;243215.6;MXN;;;;
42849;1;17-03-20 00:00;3,26E+11;1,72E+12;MXN;;;;
43076;0;09-04-20 00:00;3.75e+07;1,21E+12;THB;;;;
43710;0;12-04-20 00:00;375000.0;375000.0;USD;;;;
43738;0;23-04-20 00:00;500000.0;500000.0;USD;;;;
43450;1;30-04-20 00:00;2,48E+12;750000.0;THB;;;;
43774;0;30-04-20 00:00;2,33E+12;2,33E+12;USD;;;;
43851;0;30-04-20 00:00;0.00;0.00;MXN;;;;
42912;2;05-05-20 00:00;7,97E+09;410362.1;MXN;;;;
43821;0;05-05-20 00:00;333333.3;333333.3;USD;;;;
42592;0;07-05-20 00:00;286000.0;286000.0;USD;;;;
43717;0;10-05-20 00:00;375000.0;375000.0;USD;;;;
4178649;2;10-05-20 00:00;666667.0;666667.0;USD;;;;
43846;0;22-05-20 00:00;583332.7;583333.3;USD;;;;
43118;0;15-06-20 00:00;4,71E+11;461105.5;TJS;;;;
43736;0;18-06-20 00:00;777700.0;885722.5;EUR;;;;
43538;3;22-06-20 00:00;1,12E+10;360415.2;MXN;;;;
43803;0;07-07-20 00:00;;0.00;KZT;;;;
42802;2;10-07-20 00:00;1,88E+09;1,88E+09;USD;;;;
43383;0;17-07-20 00:00;660000.0;660000.0;USD;;;;
43821;1;03-08-20 00:00;333333.3;333333.3;USD;;;;
42875;0;17-08-20 00:00;2,41E+13;1,04E+12;MXN;;;;
42567;1;20-08-20 00:00;1,21E+14;299099.7;KZT;;;;
43816;0;20-08-20 00:00;1,82E+13;1.4e+06;ZMW;;;;
42583;1;24-08-20 00:00;1,67E+10;1,67E+10;USD;;;;
43421;1;31-08-20 00:00;825000.0;825000.0;USD;;;;
42671;2;04-09-20 00:00;1,75E+11;302460.5;GHS;;;;
43864;0;09-09-20 00:00;375000.0;375000.0;USD;;;;
42849;2;14-09-20 00:00;3,26E+11;1,41E+12;MXN;;;;
43689;1;14-09-20 00:00;7,61E+12;644294.1;BWP;;;;
