CCY_ISO,FX_RATE_DATE,FX_RATE,IMPORTATION_DATE,IMPORTED_BY
AMD,30-9-2019 00:00:00,479.73,10-12-2019 16:29:45,Christophe.Fraulob
AMD,31-12-2019 00:00:00,478.74,27-2-2020 11:05:15,nawel.octave
BWP,31-12-2017 00:00:00,9.82,6-8-2018 15:44:16,guillaume.marois
BWP,31-3-2018 00:00:00,9.56,6-8-2018 15:44:16,guillaume.marois
BWP,30-6-2018 00:00:00,10.39,24-10-2018 15:49:23,guillaume.marois
BWP,30-9-2018 00:00:00,10.23,13-11-2018 17:06:09,guillaume.marois
BWP,31-12-2018 00:00:00,10.72,11-2-2019 11:59:04,guillaume.marois
BWP,31-3-2019 00:00:00,10.23,27-5-2019 10:57:34,guillaume.marois
BWP,30-6-2019 00:00:00,10.23,3-6-2020 18:43:21,marco.putotto
BWP,30-9-2019 00:00:00,11.05,10-12-2019 16:29:45,Christophe.Fraulob
BWP,31-12-2019 00:00:00,10.57,27-2-2020 11:05:15,nawel.octave
BWP,31-3-2020 00:00:00,11.92,3-6-2020 19:22:17,marco.putotto
BWP,30-6-2020 00:00:00,11.80,7-9-2020 10:40:54,Kevin.Allamagbo
BWP,30-9-2020 00:00:00,11.61,24-11-2020 11:32:48,Kevin.Allamagbo
CNH,25-10-2019 00:00:00,0.14,25-10-2019 00:00:00,marco.putotto
CNY,31-12-2017 00:00:00,6.51,6-8-2018 15:44:16,guillaume.marois
CNY,31-3-2018 00:00:00,6.29,6-8-2018 15:44:16,guillaume.marois
CNY,30-6-2018 00:00:00,6.62,24-10-2018 15:49:23,guillaume.marois
CNY,30-9-2018 00:00:00,6.88,13-11-2018 17:06:09,guillaume.marois
CNY,31-12-2018 00:00:00,6.86,11-2-2019 11:59:04,guillaume.marois
CNY,31-3-2019 00:00:00,6.72,27-5-2019 10:57:34,guillaume.marois
CNY,30-6-2019 00:00:00,6.86,3-6-2020 18:43:21,marco.putotto
CNY,30-9-2019 00:00:00,7.13,10-12-2019 16:29:45,Christophe.Fraulob
CNY,31-12-2019 00:00:00,6.96,27-2-2020 11:05:15,nawel.octave
CNY,31-3-2020 00:00:00,7.09,3-6-2020 19:22:17,marco.putotto
CNY,30-6-2020 00:00:00,7.07,7-9-2020 10:40:54,Kevin.Allamagbo
CNY,30-9-2020 00:00:00,6.81,24-11-2020 11:32:48,Kevin.Allamagbo
COP,30-9-2019 00:00:00,3255.03,10-12-2019 16:29:45,Christophe.Fraulob
COP,31-12-2019 00:00:00,3281.50,27-2-2020 11:05:15,nawel.octave
COP,30-6-2020 00:00:00,3739.28,7-9-2020 10:40:54,Kevin.Allamagbo
COP,30-9-2020 00:00:00,3854.35,24-11-2020 11:32:48,Kevin.Allamagbo
CRC,31-12-2017 00:00:00,569.49,6-8-2018 15:44:16,guillaume.marois
CRC,31-3-2018 00:00:00,565.85,6-8-2018 15:44:16,guillaume.marois
CRC,30-6-2018 00:00:00,566.98,24-10-2018 15:49:23,guillaume.marois
CRC,30-9-2018 00:00:00,582.57,13-11-2018 17:06:09,guillaume.marois
CRC,30-9-2019 00:00:00,570.18,10-12-2019 16:29:45,Christophe.Fraulob
CRC,31-12-2019 00:00:00,573.29,27-2-2020 11:05:15,nawel.octave
EUR,31-12-2017 00:00:00,0.83,6-8-2018 15:44:16,guillaume.marois
EUR,31-3-2018 00:00:00,0.81,6-8-2018 15:44:16,guillaume.marois
EUR,30-6-2018 00:00:00,0.85,24-10-2018 15:49:23,guillaume.marois
EUR,30-9-2018 00:00:00,0.86,13-11-2018 17:06:09,guillaume.marois
EUR,31-12-2018 00:00:00,0.87,11-2-2019 11:59:04,guillaume.marois
EUR,31-3-2019 00:00:00,0.80,27-5-2019 10:57:34,guillaume.marois
EUR,30-6-2019 00:00:00,0.80,3-6-2020 18:43:21,marco.putotto
EUR,30-9-2019 00:00:00,0.91,10-12-2019 16:29:45,Christophe.Fraulob
