"ID_GROUP";"GROUP_NAME";"CREATION_DATE";"CREATED_BY";"MODIFICATION_DATE";"MODIFIED_BY"
70;"MNC group";17-12-2019 14:22:34;"charlotte.juhel";;
71;"Actera Partners";10-1-2020 15:23:53;"charlotte.juhel";;
72;"Cofina";23-1-2020 09:57:31;"charlotte.juhel";;
73;"CreditAccess Asia";30-1-2020 18:09:20;"charlotte.juhel";;
75;"Tenger Financial Group";10-2-2020 15:18:09;"charlotte.juhel";;
76;"Agora Microfinance";10-2-2020 15:37:14;"charlotte.juhel";;
77;"Arrend Group";10-2-2020 16:03:49;"charlotte.juhel";;
52;"ACBA Group";;;;
53;"Access Holding";;;;
54;"ACDI/VOCA";;;;
55;"Advans";;;;
56;"Aga Khan";;;;
57;"ASA International";;;;
58;"Banco de Credito";;;;
59;"Bayport Financial services";;;;
1;"BBVA Foundation";17-9-2021 11:38:56;"Marina.Batzeri";;
2;"CEE Microfinance Holding";11-9-2018 19:08:03;"guillaume.marois";;
3;"Chase Group";11-9-2018 19:08:03;"guillaume.marois";;
4;"CHF Intl";11-9-2018 19:08:03;"guillaume.marois";;
5;"Compartamos";11-9-2018 19:08:03;"guillaume.marois";;
6;"Enda Tiers Monde";11-9-2018 19:08:03;"guillaume.marois";;
7;"Equitas Holding";11-9-2018 19:08:03;"guillaume.marois";;
8;"Equity Group";11-9-2018 19:08:03;"guillaume.marois";;
9;"FEPCMAC";11-9-2018 19:08:03;"guillaume.marois";;
10;"FICOHSA Financial Corporation";11-9-2018 19:08:03;"guillaume.marois";;
11;"Finadev Holding";11-9-2018 19:08:03;"guillaume.marois";;
12;"Finca";11-9-2018 19:08:03;"guillaume.marois";;
13;"Fundación Microfinanzas BBVA";11-9-2018 19:08:03;"guillaume.marois";;
14;"G&T Continental El Salvador";11-9-2018 19:08:03;"guillaume.marois";;
15;"Getin Holding";11-9-2018 19:08:03;"guillaume.marois";;
16;"GMG Holding S.A.";11-9-2018 19:08:03;"guillaume.marois";;
17;"Grameen";11-9-2018 19:08:03;"guillaume.marois";;
18;"Grupo Promerica";11-9-2018 19:08:03;"guillaume.marois";;
19;"Grupo Terra";11-9-2018 19:08:03;"guillaume.marois";;
20;"ICMC";11-9-2018 19:08:03;"guillaume.marois";;
21;"INVOINET Holding";11-9-2018 19:08:03;"guillaume.marois";;
22;"Letshego Holdings Limited";11-9-2018 19:08:03;"guillaume.marois";;
23;"LOLC Group";11-9-2018 19:08:03;"guillaume.marois";;
24;"Mercy Corps";11-9-2018 19:08:03;"guillaume.marois";;
25;"Microcred";11-9-2018 19:08:03;"guillaume.marois";;
26;"Microcredit Foundation EKI";11-9-2018 19:08:03;"guillaume.marois";;
27;"Mikrofin MCC";11-9-2018 19:08:03;"guillaume.marois";;
28;"Musoni DTM";11-9-2018 19:08:03;"guillaume.marois";;
29;"NCH Capital";11-9-2018 19:08:03;"guillaume.marois";;
30;"NOA Holding";11-9-2018 19:08:03;"guillaume.marois";;
31;"Opportunity Intl";11-9-2018 19:08:03;"guillaume.marois";;
32;"Oxus";11-9-2018 19:08:03;"guillaume.marois";;
33;"People's Bank";11-9-2018 19:08:03;"guillaume.marois";;
