"ID_MFI";"MFI_NAME";"COUNTRY_FK";"MFI_INTERNAL_RATING";"MFI_EXTERNAL_RATING";"CREATION_DATE";"CREATED_BY";"MODIFICATION_DATE";"MODIFIED_BY"
4748;"AB MF Bank Nigeria";6153;;;10-2-2020 00:00:00;"guillaume.marois";10-2-2020 00:00:00;"guillaume.marois"
4750;"Abaco ";6158;;;8-10-2018 17:21:26;"guillaume.marois";;
4751;"ABC Leasing";6146;;;8-10-2018 17:21:26;"guillaume.marois";;
4752;"ACBA Credit Agricole Bank CJSC";6108;;;8-10-2018 17:21:26;"guillaume.marois";;
4753;"ACBA Leasing";6108;;;8-10-2018 17:21:26;"guillaume.marois";;
4754;"Acceso Crediticio";6158;;;8-10-2018 17:21:26;"guillaume.marois";;
4755;"Access Bank Tanzania Ltd";6170;;;8-10-2018 17:21:26;"guillaume.marois";;
4756;"AccessBank Closed Joint Stock Company";6109;;;8-10-2018 17:21:26;"guillaume.marois";;
4757;"AccessBank Liberia";6143;;;8-10-2018 17:21:26;"guillaume.marois";;
4758;"AccessBank Tajikistan";6169;;;8-10-2018 17:21:26;"guillaume.marois";;
4759;"ACEP Cameroun";6119;;;8-10-2018 17:21:26;"guillaume.marois";;
4760;"Acleda Bank";6118;;;8-10-2018 17:21:26;"guillaume.marois";;
4761;"ACME";6132;;;8-10-2018 17:21:26;"guillaume.marois";;
4762;"Active Leasing SA de CV";6146;;;8-10-2018 17:21:26;"guillaume.marois";;
4763;"Advans";6179;;;8-10-2018 17:21:26;"guillaume.marois";;
4764;"Advans Banque Congo";6125;;;8-10-2018 17:21:26;"guillaume.marois";;
4765;"Advans Cameroun";6119;;;8-10-2018 17:21:26;"guillaume.marois";;
4766;"Advans Cote D ivoire";6136;"";"";8-10-2018 17:21:26;"guillaume.marois";6-12-2019 10:27:23;"guillaume.marois"
4767;"Advans Ghana";6130;;;8-10-2018 17:21:26;"guillaume.marois";;
4768;"Advans Tunisie";6172;;;8-10-2018 17:21:26;"guillaume.marois";;
4769;"AFK";6140;;;8-10-2018 17:21:26;"guillaume.marois";;
4770;"Agroinvest";6109;;;8-10-2018 17:21:26;"guillaume.marois";;
4771;"AgroInvest Serbia";6165;;;8-10-2018 17:21:26;"guillaume.marois";;
4772;"Aiyl";6141;;;8-10-2018 17:21:26;"guillaume.marois";;
4773;"Al Majmoua";6142;;;8-10-2018 17:21:26;"guillaume.marois";;
4774;"Alsol Contigo SA de CV, SOFOM ENR";6146;;;8-10-2018 17:21:26;"guillaume.marois";;
4775;"Alternativa del Sur";6146;;;8-10-2018 17:21:26;"guillaume.marois";;
4776;"AMC de R.L. de C.V.";6128;;;8-10-2018 17:21:26;"guillaume.marois";;
4777;"Ameriabank ";6108;;;8-10-2018 17:21:26;"guillaume.marois";;
4778;"Amret Co Limited";6118;;;8-10-2018 17:21:26;"guillaume.marois";;
4779;"Angkor Mikroheranhvatho Kampuchea Co.,Ltd";6118;;;8-10-2018 17:21:26;"guillaume.marois";;
4780;"Annapurna Microfinance Private Limited";6134;;;8-10-2018 17:21:26;"guillaume.marois";;
4781;"Apoyo Integral";6128;;;8-10-2018 17:21:26;"guillaume.marois";;
4782;"Araratbank";6108;;;8-10-2018 17:21:26;"guillaume.marois";;
4783;"Armeconombank";6108;;;8-10-2018 17:21:26;"guillaume.marois";;
4784;"Arohan Financial Services Ltd";6134;;;8-10-2018 17:21:26;"guillaume.marois";;
4785;"Arrend";6131;;;8-10-2018 17:21:26;"guillaume.marois";;
4786;"Arrendamas";6146;;;8-10-2018 17:21:26;"guillaume.marois";;
4787;"Artsakh";6108;;;8-10-2018 17:21:26;"guillaume.marois";;
4788;"ASA India";6134;;;8-10-2018 17:21:26;"guillaume.marois";;
4789;"ASA International Holding";6200;;;8-10-2018 17:21:26;"guillaume.marois";;
4790;"ASA Pakistan ";6154;;;8-10-2018 17:21:26;"guillaume.marois";;
4791;"Asian Credit Fund";6138;;;8-10-2018 17:21:26;"guillaume.marois";;
4792;"Asirvad Microfinance Pvt Ltd";6134;;;8-10-2018 17:21:26;"guillaume.marois";;
4793;"Aye Finance ";6134;;;8-10-2018 17:21:26;"guillaume.marois";;
4794;"Azercredit";6109;;;8-10-2018 17:21:26;"guillaume.marois";;
4795;"Azerdemiryolbank";6109;;;8-10-2018 17:21:26;"guillaume.marois";;
4796;"BancABC Holding Botswana";6115;;;8-10-2018 17:21:26;"guillaume.marois";;
4797;"Banco Agropecuario";6158;;;8-10-2018 17:21:26;"guillaume.marois";;
4798;"Banco Amazonas";6126;;;8-10-2018 17:21:26;"guillaume.marois";;
4799;"Banco Atlantida";6128;;;8-10-2018 17:21:26;"guillaume.marois";;
4800;"Banco Avanz (Ex Banco Procredit Nicaragua)";6152;;;8-10-2018 17:21:26;"guillaume.marois";;
4801;"Banco Cathay";6123;;;8-10-2018 17:21:26;"guillaume.marois";;
4802;"Banco Compartamos";6146;;;8-10-2018 17:21:26;"guillaume.marois";;
4803;"Banco Continental";6157;;;8-10-2018 17:21:26;"guillaume.marois";;
4804;"Banco Cuscatclan";6128;;;8-10-2018 17:21:26;"guillaume.marois";;
4805;"Banco de Finanzas";6152;;;8-10-2018 17:21:26;"guillaume.marois";;
