"ID_INNPACT";"PROVISION_DATE";"PROVISION_VALUE_USD";"NOVAL";"PERCENTAGE_PROVISION"
42459;1-1-2021 00:00:00;-545955.0;146280;0.00
42575;31-12-2018 00:00:00;-2.141881e+06;267864;0.00
42575;31-3-2019 00:00:00;-2.141881e+06;133932;0.00
42575;30-6-2019 00:00:00;-2.141881e+06;133932;0.00
42575;30-9-2019 00:00:00;-1.070941e+06;133932;0.00
42575;31-12-2019 00:00:00;-653650.0;133932;0.00
42592;1-9-2020 00:00:00;-809469.0;168972;0.00
42592;1-1-2021 00:00:00;-363669.0;168972;0.00
42606;8-7-2020 00:00:00;-185426.0;161091;0.00
42606;1-1-2021 00:00:00;-185426.0;161091;0.00
42671;1-9-2020 00:00:00;-315065.0;156399;0.00
42721;30-9-2018 00:00:00;-1.39e+07;217448;0.00
42721;31-12-2018 00:00:00;-1.64e+07;217448;0.00
42722;30-9-2018 00:00:00;-2.0e+06;218492;0.00
42722;31-12-2018 00:00:00;-2.0e+06;218492;0.00
42723;30-9-2018 00:00:00;-6.6e+06;220536;0.00
42723;31-12-2018 00:00:00;-6.6e+06;220536;0.00
42794;31-12-2018 00:00:00;-6.0e+06;228532;0.00
42794;31-3-2019 00:00:00;-6.0e+06;114266;0.00
42794;30-6-2019 00:00:00;-6.0e+06;114266;0.00
42794;30-9-2019 00:00:00;-6.0e+06;114266;0.00
42794;31-12-2019 00:00:00;-6.0e+06;114266;0.00
42794;31-3-2020 00:00:00;-6.0e+06;114266;0.00
42794;1-9-2020 00:00:00;-6.0e+06;114266;0.00
42794;1-1-2021 00:00:00;-5.867933e+06;114266;0.00
42795;30-9-2018 00:00:00;-6.0e+06;107973;0.00
42795;31-3-2019 00:00:00;-6.0e+06;107973;0.00
42795;30-6-2019 00:00:00;-6.0e+06;107973;0.00
42795;30-9-2019 00:00:00;-6.0e+06;107973;0.00
42795;31-12-2019 00:00:00;-6.0e+06;107973;0.00
42795;31-3-2020 00:00:00;-6.0e+06;107973;0.00
42795;1-9-2020 00:00:00;-6.0e+06;107973;0.00
42795;1-1-2021 00:00:00;-5.867933e+06;107973;0.00
42875;1-1-2021 00:00:00;-1.0e+06;157161;0.00
42875;1-4-2021 00:00:00;-1.24217e+06;157161;0.00
42879;1-1-2021 00:00:00;-1.1e+06;146231;0.00
42879;1-4-2021 00:00:00;-1.1e+06;146231;0.00
42880;1-1-2021 00:00:00;-570876.4;151970;0.00
42880;1-4-2021 00:00:00;-570876.4;151970;0.00
42881;1-1-2021 00:00:00;-2.260209e+06;137418;0.00
