ID_INNPACT;REPAYMENT_DATE;AMOUNT_VALUE_LOCAL_CCY;XR;USD_calcualted_base_in_local_CCY;Prov_in_USD;LOCAL_CCY;NOVAL;Disbursement_date;Country;Link_to_open_TT;Country_code;MFI_NAME;Original_amount_LCY;Received_amount_LCY;Payment_Status;Provision_LCY;%_prov
4183335;03-01-23;8087500;6.460874;1251765.628;0;CNH;1316;44379;China;Huimin;CHN;Huimin;8087500;0;Pending;0;0
4183335;03-07-23;24262500;6.460874;3755296.884;0;CNH;1316;44379;China;Huimin;CHN;Huimin;24262500;0;Pending;0;0
4183357;17-08-23;54725000;107.899992;507182.6141;0;KES;1354;44425;Kenya;ASA Kenya;KEN;ASA Kenya;54725000;0;Pending;0;0
4183357;19-08-24;54725000;107.899992;507182.6141;0;KES;1354;44425;Kenya;ASA Kenya;KEN;ASA Kenya;54725000;0;Pending;0;0
4183388;08-07-22;395000000;410.000084;963414.4368;0;NGN;1397;44385;Nigeria;Advans Nig;NGA;Advans Nigeria (formerly La Fayette);395000000;0;Pending;0;0
4183394;30-01-23;200000000;410.000084;487804.7781;0;NGN;1404;44407;Nigeria;Addosser;NGA;Addosser;200000000;0;Pending;0;0
4183394;30-07-23;200000000;410.000084;487804.7781;0;NGN;1404;44407;Nigeria;Addosser;NGA;Addosser;200000000;0;Pending;0;0
43863;27-07-24;1214299650;804.875748;1.508679635;0;MWK;1405;44404;Malawi;Finca Mala;MWI;Finca Malawi;1214299650;0;Pending;0;0
4183397;07-07-23;422654.26;0.84324142;501225.6869;0;EUR;1407;44384;Georgia;JSC Libert;GEO;JSC Liberty Bank;422654.26;0;Pending;0;0
4183397;08-01-24;422654.27;0.84324142;501225.6988;0;EUR;1407;44384;Georgia;JSC Libert;GEO;JSC Liberty Bank;422654.27;0;Pending;0;0
4183397;08-07-24;422654.27;0.84324142;501225.6988;0;EUR;1407;44384;Georgia;JSC Libert;GEO;JSC Liberty Bank;422654.27;0;Pending;0;0
4183397;07-01-25;422654.27;0.84324142;501225.6988;0;EUR;1407;44384;Georgia;JSC Libert;GEO;JSC Liberty Bank;422654.27;0;Pending;0;0
4183397;31-01-25;422654.27;0.84324142;501225.6988;0;EUR;1407;44384;Georgia;JSC Libert;GEO;JSC Liberty Bank;422654.27;0;Pending;0;0
4183412;12-07-24;370000000;74.330003;4977801.494;0;INR;1439;44389;India;Annapurna ;IND;Annapurna Microfinance Private Limited;370000000;0;Pending;0;0
4183413;20-08-24;220000000;74.330003;2959773.861;0;INR;1442;44428;India;Light Micr;IND;Light Microfinance Private Limited;220000000;0;Pending;0;0
4183418;24-07-23;1000000;1;1000000;0;USD;1450;44399;Costa Rica;Banco Impr;CRI;Banco Improsa;1000000;0;Pending;0;0
4183418;22-01-24;1000000;1;1000000;0;USD;1450;44399;Costa Rica;Banco Impr;CRI;Banco Improsa;1000000;0;Pending;0;0
4183418;22-07-24;2000000;1;2000000;0;USD;1450;44399;Costa Rica;Banco Impr;CRI;Banco Improsa;2000000;0;Pending;0;0
4183420;30-01-24;3750000;1;3750000;0;USD;1453;44407;Botswana;Letshego B;BWA;Letshego Botswana;3750000;0;Pending;0;0
4183420;30-01-25;3750000;1;3750000;0;USD;1453;44407;Botswana;Letshego B;BWA;Letshego Botswana;3750000;0;Pending;0;0
4183422;31-12-21;333333.33;1;333333.33;0;USD;1456;44384;Palestine;FATEN;PAL;FATEN;333333.33;0;Pending;0;0
4183422;30-06-22;333333.33;1;333333.33;0;USD;1456;44384;Palestine;FATEN;PAL;FATEN;333333.33;0;Pending;0;0
4183422;03-01-23;333333.33;1;333333.33;0;USD;1456;44384;Palestine;FATEN;PAL;FATEN;333333.33;0;Pending;0;0
4183422;30-06-23;333333.33;1;333333.33;0;USD;1456;44384;Palestine;FATEN;PAL;FATEN;333333.33;0;Pending;0;0
4183422;02-01-24;333333.33;1;333333.33;0;USD;1456;44384;Palestine;FATEN;PAL;FATEN;333333.33;0;Pending;0;0
4183422;01-07-24;333333.35;1;333333.35;0;USD;1456;44384;Palestine;FATEN;PAL;FATEN;333333.35;0;Pending;0;0
4183431;25-12-24;5000000;1;5000000;0;USD;1476;44378;Sri Lanka;Seylan Ban;LKA;Seylan Bank;5000000;0;Pending;0;0
4183924;27-08-24;365000000;74.330003;4910533.906;0;INR;1478;44435;India;Asirvad Mi;IND;Asirvad Microfinance Pvt Ltd;365000000;0;Pending;0;0
4183924;27-02-25;365000000;74.330003;4910533.906;0;INR;1478;44435;India;Asirvad Mi;IND;Asirvad Microfinance Pvt Ltd;365000000;0;Pending;0;0
4183457;22-07-24;4000000;1;4000000;0;USD;1515;44398;Cambodia;Prasac Mic;KHM;Prasac Microfinance Institution ltd;4000000;0;Pending;0;0
4183966;28-02-23;375000;0.84324142;444712.5;0;EUR;1528;44183;Kosovo;Finca Koso;KOS;Finca Kosovo;375000;0;Pending;0;0
4184016;31-08-23;375000;0.84324142;444712.5;0;EUR;1528;44377;Kosovo;Finca Koso;KOS;Finca Kosovo;375000;0;Pending;0;0
4184016;29-02-24;375000;0.84324142;444712.5;0;EUR;1528;44377;Kosovo;Finca Koso;KOS;Finca Kosovo;375000;0;Pending;0;0
4184017;30-08-24;375000;0.84324142;444712.5;0;EUR;1528;44369;Kosovo;Finca Koso;KOS;Finca Kosovo;375000;0;Pending;0;0
4183474;21-10-21;1500000;1;1500000;0;USD;1535;44417;Cambodia;LOLC Cambo;KHM;LOLC Cambodia;1500000;0;Pending;0;0
42920;31-01-19;1250000;1;1250000;0;USD;134596;42766;Peru;Financiera;PER;Financiera TFC SA;1250000;1250000;Paid;0;0
42920;31-07-19;1250000;1;1250000;0;USD;134596;42766;Peru;Financiera;PER;Financiera TFC SA;1250000;1250000;Paid;0;0
42920;31-01-20;2500000;1;2500000;2500000;USD;134596;42766;Peru;Financiera;PER;Financiera TFC SA;2500000;0;Pending;2500000;1
42878;05-10-20;11375000;19.91049;571306.884;344475.2881;MXN;137418;42863;Mexico;Financiami;MEX;Financiamiento Progresemos S.A.;11375000;0;Pending;6858671.778;0.602960156
42878;06-04-21;11375000;19.91049;571306.884;344475.2881;MXN;137418;42863;Mexico;Financiami;MEX;Financiamiento Progresemos S.A.;11375000;0;Pending;6858671.778;0.602960156
4183701;23-08-21;3000000;1;3000000;0;USD;141390;42970;Armenia;ACBA Credi;ARM;ACBA Credit Agricole Bank CJSC;3000000;3000000;Paid;0;0
42616;20-10-18;1250000;1;1250000;0;USD;145298;43028;El Salvador;Banco Hipo;SLV;Banco Hipotecario;1250000;1250000;Paid;0;0
42616;20-10-19;1250000;1;1250000;0;USD;145298;43028;El Salvador;Banco Hipo;SLV;Banco Hipotecario;1250000;1250000;Paid;0;0
42616;20-10-20;1250000;1;1250000;0;USD;145298;43028;El Salvador;Banco Hipo;SLV;Banco Hipotecario;1250000;1250000;Paid;0;0
42616;20-10-21;1250000;1;1250000;0;USD;145298;43028;El Salvador;Banco Hipo;SLV;Banco Hipotecario;1250000;0;Pending;0;0
42879;08-11-19;47500000;19.91049;2385677.098;0;MXN;146231;43063;Mexico;Financiami;MEX;Financiamiento Progresemos S.A.;47500000;47500000;Paid;0;0
42879;08-11-20;47500000;19.91049;2385677.098;1438468.236;MXN;146231;43063;Mexico;Financiami;MEX;Financiamiento Progresemos S.A.;47500000;0;Pending;28640607.42;0.602960156
43025;23-11-18;2172420.601;1;2172420.601;0;USD;146259;43061;Nigeria;FORTIS Mic;NGA;FORTIS Microfinance Bank;2172420.601;2172420.601;Paid;0;0
43025;23-11-18;2827579.399;1;2827579.399;2827579.399;USD;146259;43061;Nigeria;FORTIS Mic;NGA;FORTIS Microfinance Bank;2827579.399;0;Pending;2827579.399;1
4183725;13-11-18;8660000.01;3.83249;2259627.555;0;PEN;146280;43052;Peru;Acceso Cre;PER;Acceso Crediticio;8660000.01;8660000.01;Paid;0;0
4183725;13-11-19;8660000.01;3.83249;2259627.555;0;PEN;146280;43052;Peru;Acceso Cre;PER;Acceso Crediticio;8660000.01;8660000.01;Paid;0;0
4183725;13-11-20;8659999.98;3.83249;2259627.548;0;PEN;146280;43052;Peru;Acceso Cre;PER;Acceso Crediticio;8659999.98;0;Unpaid;0;0
4183725;13-11-21;8659999.98;3.83249;2259627.548;519952.0224;PEN;146280;43052;Peru;Acceso Cre;PER;Acceso Crediticio;8659999.98;0;Pending;1992710.926;0.230105188
42584;20-12-18;2500000;1;2500000;0;USD;147153;43089;El Salvador;Banco Atla;SLV;Banco Atlantida;2500000;2500000;Paid;0;0
42584;20-12-19;2500000;1;2500000;0;USD;147153;43089;El Salvador;Banco Atla;SLV;Banco Atlantida;2500000;2500000;Paid;0;0
